locus_tag	ftype	length_bp	gene	EC_number	COG	product
ANC_00048	CDS	1332	hslU			ATPase component of the HslVU protease
ANC_00049	CDS	531	hslV			peptidase component of the HslVU protease
ANC_00050	CDS	855	ftsN			essential cell division protein FtsN
ANC_00051	CDS	1026	cytR_1			CytR-cytidine
ANC_00052	CDS	2199	priA			primosome factor N'
ANC_00053	CDS	213	rpmE			50S ribosomal subunit protein L31
ANC_00054	CDS	624				hypothetical protein
ANC_00055	CDS	609				hypothetical protein
ANC_00056	CDS	318	metJ			MetJ transcriptional repressor
ANC_00057	CDS	1161	metB	2.5.1.48		O-succinylhomoserine lyase / O-succinylhomoserine(thiol)-lyase
ANC_00058	CDS	2433	metL	1.1.1.3		aspartate kinase / homoserine dehydrogenase
ANC_00059	CDS	891	metF	1.5.1.20		5,10-methylenetetrahydrofolate reductase
ANC_00060	CDS	2181	katG			hydroperoxidase I
ANC_00061	CDS	906	yijE			putative permease
ANC_00062	CDS	618				hypothetical protein
ANC_00063	CDS	1104	gldA	1.1.1.6		L-1,2-propanediol dehydrogenase / glycerol dehydrogenase
ANC_00064	CDS	663	fsaB			fructose 6-phosphate aldolase 2
ANC_00065	CDS	2502	ptsA	2.7.3.9		fused predicted PTS enzymes: HPr component / enzyme I component / enzyme IIA component
ANC_00066	CDS	1080	frwC			PTS permease - unknown specificity
ANC_00067	CDS	321	frwB	2.7.1.69		PTS permease - unknown specificity
ANC_00068	CDS	2298	pflD	2.3.1.54		formate acetyltransferase 2
ANC_00069	CDS	879	pflC	1.97.1.4		putative pyruvate formate lyase 2 activating enzyme
ANC_00070	CDS	342	frwD	2.7.1.69		PTS system fructose-like IIB component 2
ANC_00071	CDS	852	yijO			putative DNA-binding transcriptional regulator
ANC_00072	CDS	1734				hypothetical protein
ANC_00073	CDS	2652	ppc	4.1.1.31		phosphoenolpyruvate carboxylase
ANC_00074	CDS	1152	argE	3.5.1.16		acetylornithine deacetylase
ANC_00075	CDS	1005	argC	1.2.1.38		N-acetylglutamylphosphate reductase
ANC_00076	CDS	777	argB	2.7.2.8		acetylglutamate kinase monomer
ANC_00077	CDS	1374	argH	4.3.2.1		argininosuccinate lyase
ANC_00078	CDS	918	oxyR			OxyR DNA-binding transcriptional dual regulator
ANC_00079	CDS	468	sthA	1.6.1.1		pyridine nucleotide transhydrogenase
ANC_00080	CDS	585	yraH			putative fimbrial-like adhesin protein
ANC_00081	CDS	696	yraI			putative pilin chaperone
ANC_00082	CDS	2517	yraJ			putative outer membrane export usher protein
ANC_00083	CDS	1092	yraK			putative fimbrial protein
ANC_00084	CDS	861	rsmI			16S rRNA 2'-O-ribose methyltransferase
ANC_00085	CDS	2037	lpoA			outer membrane lipoprotein - activator of PBP1A activity
ANC_00086	CDS	396				hypothetical protein
ANC_00087	CDS	591	diaA			DnaA initiator-associating factor for replication initiation
ANC_00088	CDS	576	yraP			lipoprotein
ANC_00089	CDS	1041	yraQ			putative permease
ANC_00090	CDS	636	yraR			putative nucleoside-diphosphate-sugar epimerase
ANC_00091	CDS	384	yhbO			protein involved in stress response
ANC_00092	CDS	444				hypothetical protein
ANC_00093	CDS	312	yhbQ			putative endonuclease
ANC_00094	CDS	504	yhbS			putative acyltransferase with acyl-CoA N-acyltransferase domain protein
ANC_00095	CDS	525	yhbT			putative lipid carrier protein
ANC_00096	CDS	996	yhbU			putative peptidase (collagenase-like)
ANC_00097	CDS	879	yhbV			putative protease
ANC_00098	CDS	1008				hypothetical protein
ANC_00099	CDS	1245	mtr			tryptohan / indole:H+ symporter Mtr
ANC_00100	CDS	1890	deaD			DeaD, DEAD-box RNA helicase
ANC_00101	CDS	885	nlpI			lipoprotein involved in cell division
ANC_00102	CDS	2136	pnp	2.7.7.8		polynucleotide phosphorylase monomer
ANC_00103	CDS	270	rpsO			30S ribosomal subunit protein S15
ANC_00104	CDS	945	truB			tRNA pseudouridine 55 synthase
ANC_00105	CDS	402	rbfA			30S ribosome binding factor
ANC_00106	CDS	2673	infB			protein chain initiation factor IF2
ANC_00107	CDS	1488	nusA			transcription termination/antitermination L factor
ANC_00108	CDS	453	rimP			ribosome maturation protein
ANC_00109	tRNA	77				tRNA-Met(cat)
ANC_00110	CDS	1344	argG	6.3.4.5		argininosuccinate synthase
ANC_00111	CDS	1626	yhbX			putative hydrolase, inner membrane
ANC_00112	tRNA	87				tRNA-Leu(gag)
ANC_00113	CDS	333	secG			Sec Translocation Complex
ANC_00114	CDS	1338	glmM	5.4.2.10		phosphoglucosamine mutase
ANC_00115	CDS	849	folP	2.5.1.15		dihydropteroate synthase
ANC_00116	CDS	1944	ftsH			ATP-dependent zinc metalloprotease FtsH
ANC_00117	CDS	630	rlmE			23S rRNA 2'-O-ribose methyltransferase
ANC_00118	CDS	294	yhbY			putative RNA-binding protein
ANC_00119	CDS	477	greA			transcription elongation factor GreA
ANC_00120	CDS	1434	dacB	3.4.16.4		D-alanyl-D-alanine endopeptidase
ANC_00121	CDS	1173	obgE			GTPase involved in chromosome partitioning and ribosome assembly
ANC_00122	CDS	966				hypothetical protein
ANC_00123	CDS	258	rpmA			50S ribosomal subunit protein L27
ANC_00124	CDS	312	rplU			50S ribosomal subunit protein L21
ANC_00125	CDS	972	ispB			octaprenyl diphosphate synthase
ANC_00126	CDS	279	sfsB			Nlp transcriptional regulator
ANC_00127	CDS	1260	murA	2.5.1.7		UDP-N-acetylglucosamine enolpyruvoyl transferase
ANC_00128	CDS	270	ibaG			putative DNA-binding transcriptional regulator
ANC_00129	CDS	294	mlaB			phospholipid ABC transporter
ANC_00130	CDS	636	mlaC			phospholipid ABC transporter
ANC_00131	CDS	552	mlaD			phospholipid ABC transporter
ANC_00132	CDS	783	mlaE			phospholipid ABC transporter
ANC_00133	CDS	810	mlaF			phospholipid ABC transporter
ANC_00134	CDS	978	yrbG			inner membrane protein YrbG
ANC_00135	CDS	987	kdsD_1	5.3.1.13		D-arabinose 5-phosphate isomerase
ANC_00136	CDS	567	kdsC	3.1.3.45		3-deoxy-D-manno-octulosonate 8-phosphate phosphatase monomer
ANC_00137	CDS	576	lptC			LptABCFG ABC transporter
ANC_00138	CDS	558	lptA			LptABCFG ABC transporter
ANC_00139	CDS	726	lptB			LptABCFG ABC transporter
ANC_00140	CDS	1434	rpoN			RNA polymerase, sigma 54 (sigma N) factor
ANC_00141	CDS	288	hpf			hibernation promoting factor
ANC_00142	CDS	492	ptsN			phosphotransferase system enzyme IIA, regulation of potassium transport
ANC_00143	CDS	855	yhbJ			putative P-loop containing ATPase
ANC_00144	CDS	273	npr			phosphocarrier protein HPr-like NPr, nitrogen related, exchanges phosphate with Enzyme I, Hpr
ANC_00145	CDS	633	yrbL			putative protein
ANC_00146	CDS	729	mtgA			biosynthetic peptidoglycan transglycosylase
ANC_00147	CDS	654	elbB			isoprenoid biosynthesis protein with amidotransferase-like domain protein
ANC_00148	CDS	2337	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
ANC_00149	CDS	930	yhcC			putative Fe-S oxidoreductase
ANC_00150	CDS	4554	gltB	1.4.1.13		glutamate synthase, large subunit
ANC_00151	CDS	1419	gltD	1.4.1.13		glutamate synthase, small subunit
ANC_00152	CDS	480				hypothetical protein
ANC_00153	CDS	306				hypothetical protein
ANC_00154	CDS	465				hypothetical protein
ANC_00155	CDS	876	nanK	2.7.1.60		N-acetylmannosamine kinase
ANC_00156	CDS	690	nanE	5.1.3.9		putative N-acetylmannosamine-6-phosphate epimerase
ANC_00157	CDS	1491	nanT			N-acetylneuraminate:H+ symporter
ANC_00158	CDS	894	nanA	4.1.3.3		N-acetylneuraminate lyase
ANC_00159	CDS	792	nanR			NanR DNA-binding transcriptional dual regulator
ANC_00160	CDS	291				hypothetical protein
ANC_00161	CDS	570				hypothetical protein
ANC_00162	CDS	198				hypothetical protein
ANC_00163	CDS	489				hypothetical protein
ANC_00164	CDS	375	cbtA			CP4-44 prophage; toxin of the CbtA-CbeA toxin-antitoxin system
ANC_00165	CDS	1062				hypothetical protein
ANC_00166	CDS	222	yeeT			CP4-44 prophage; predicted protein
ANC_00167	CDS	477	yeeS			CP4-44 prophage; predicted DNA repair protein
ANC_00168	CDS	486	yfjX			CP4-57 prophage; predicted antirestriction protein
ANC_00169	CDS	819	yfjQ			CP4-57 prophage; predicted protein
ANC_00170	CDS	234	ykfF			CP4-6 prophage; predicted protein
ANC_00171	CDS	456				hypothetical protein
ANC_00172	CDS	2517				hypothetical protein
ANC_00173	CDS	2847	flu			CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter
ANC_00174	CDS	873	era_1			GTPase Era
ANC_00175	CDS	918				hypothetical protein
ANC_00176	CDS	885	intB_1			KpLE2 phage-like element; predicted integrase
ANC_00177	tRNA	76				tRNA-Phe(gaa)
ANC_00178	CDS	708	yqgA			putative transport protein
ANC_00179	CDS	2136	speC	4.1.1.17		ornithine decarboxylase, biosynthetic
ANC_00180	CDS	1257	nupG			nucleoside:H+ symporter NupG
ANC_00181	CDS	1080	mltC	4.2.2		membrane-bound lytic murein transglycosylase C
ANC_00182	CDS	276	yggX			protein that protects iron-sulfur proteins against oxidative damage
ANC_00183	CDS	1053	mutY			adenine glycosylase; G.C --> T.A transversions
ANC_00184	CDS	720	trmI	2.1.1.33		tRNA (m7G46) methyltransferase
ANC_00185	CDS	327	yggL			putative protein
ANC_00186	CDS	720	yggN			putative protein
ANC_00187	CDS	1047	ansB	3.5.1.1		asparaginase II
ANC_00188	CDS	1008				hypothetical protein
ANC_00189	CDS	1137	yggW			putative oxidoreductase
ANC_00190	CDS	594	rdgB	3.6.1.19		dITP/XTP pyrophosphatase
ANC_00191	CDS	291				hypothetical protein
ANC_00192	CDS	567	yggT			putative inner membrane protein
ANC_00193	CDS	705	yggS			putative enzyme
ANC_00194	CDS	981	yggR			putative transporter
ANC_00195	CDS	417	yqgF			putative transcription antitermination factor
ANC_00196	CDS	636	yqgE			putative protein
ANC_00197	CDS	951	gshB	6.3.2.3		glutathione synthetase monomer
ANC_00198	CDS	732	rsmE			16S rRNA methyltransferase monomer
ANC_00199	CDS	708	endA	3.1.21.1		DNA-specific endonuclease I
ANC_00200	CDS	456				hypothetical protein
ANC_00201	CDS	1395	galP			galactose:H+ symporter
ANC_00202	CDS	1155	metK	2.5.1.6		methionine adenosyltransferase
ANC_00203	CDS	252	yqgD			hypothetical protein
ANC_00204	CDS	1977	speA	4.1.1.19		arginine decarboxylase, biosynthetic
ANC_00205	CDS	921	speB	3.5.3.11		agmatinase
ANC_00206	CDS	759	loiP			outer membrane metallopeptidase
ANC_00207	CDS	1992	tktA	2.2.1.1		transketolase I
ANC_00208	CDS	417	cmtB			mannitol PTS permease (cryptic) - CmtB subunit
ANC_00209	CDS	1389	cmtA	2.7.1.69		mannitol PTS permease (cryptic) - CmtA subunit
ANC_00210	CDS	1278	yggP			putative dehydrogenase
ANC_00211	CDS	966	yggF	3.1.3.11		fructose-1,6-bisphosphatase
ANC_00212	CDS	510	yggD			putative DNA-binding transcriptional regulator
ANC_00213	CDS	714				hypothetical protein
ANC_00214	CDS	1020	epd	1.2.1.72		erythrose 4-phosphate dehydrogenase
ANC_00215	CDS	1164	pgk	2.7.2.3		phosphoglycerate kinase
ANC_00216	CDS	1080	fbaA	4.1.2.13		fructose bisphosphate aldolase monomer
ANC_00217	CDS	861	mscS			mechanosensitive channel MscS monomer
ANC_00218	CDS	636	argO			arginine export protein
ANC_00219	CDS	741				hypothetical protein
ANC_00220	CDS	897	ygfI			putative DNA-binding transcriptional regulator LYSR-type
ANC_00221	CDS	1479	scpC			propionyl-CoA:succinate CoA transferase
ANC_00222	CDS	786	scpB	4.1.1.41		methylmalonyl-CoA decarboxylase
ANC_00223	CDS	996	argK			GTPase that interacts with methylmalonyl-CoA mutase
ANC_00224	CDS	2145	scpA	5.4.99.2		methylmalonyl-CoA mutase
ANC_00225	CDS	894	argP			ArgP transcriptional activator
ANC_00226	CDS	231				hypothetical protein
ANC_00227	CDS	660	rpiA	5.3.1.6		ribose-5-phosphate isomerase A
ANC_00228	CDS	1233	serA	1.1.1.95		alpha-ketoglutarate reductase / D-3-phosphoglycerate dehydrogenase
ANC_00229	CDS	603	fau			5-formyltetrahydrofolate cyclo-ligase
ANC_00230	CDS	330	zapA			cell division factor ZapA, localizes to the cytokinetic ring
ANC_00231	CDS	579	ygfB			putative protein
ANC_00232	CDS	1326	pepP			proline aminopeptidase P II
ANC_00233	CDS	1179	ubiH			2-octaprenyl-6-methoxyphenol hydroxylase
ANC_00234	CDS	1203	visC			putative oxidoreductase, FAD/NAD(P)-binding domain
ANC_00235	CDS	1095	gcvT	2.1.2.10		aminomethyltransferase
ANC_00236	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
ANC_00237	CDS	2874	gcvP	1.4.4.2		glycine decarboxylase
ANC_00238	CDS	432	nagK_1	2.7.1.59		N-acetyl-D-glucosamine kinase
ANC_00239	CDS	1239	lolE			LolCDE ABC lipoprotein transporter
ANC_00240	CDS	702	lolD			LolCDE ABC lipoprotein transporter
ANC_00241	CDS	1200	lolC			LolCDE ABC lipoprotein transporter
ANC_00242	CDS	1074	ycfT			putative transport protein
ANC_00243	CDS	3495	mfd			transcription-repair coupling factor
ANC_00244	CDS	960	ycfS			L,D-transpeptidase YcfS
ANC_00245	CDS	258	bhsA			outer membrane protein involved in copper permeability, stress resistance and biofilm formation
ANC_00246	CDS	696	comR			ComR DNA-binding transcriptional repressor
ANC_00247	CDS	540	ycfJ			putative protein
ANC_00248	CDS	1305	ndh			NADH:ubiquinone oxidoreductase II
ANC_00249	CDS	543				hypothetical protein
ANC_00250	CDS	1026	nagZ	3.2.1.52		beta-N-acetylhexosaminidase
ANC_00251	CDS	825	thiK	2.7.1.89		thiamin kinase
ANC_00252	CDS	642	lpoB			outer membrane lipoprotein - activator of PBP1B activity
ANC_00253	CDS	378	ycfL			putative protein
ANC_00254	CDS	360	hinT			purine nucleoside phosphoramidase monomer
ANC_00255	CDS	2190	fhuE			ferric coprogen outer membrane porin FhuE
ANC_00256	CDS	1434	ptsG	2.7.1.69		glucose PTS permease - PtsG subunit
ANC_00257	CDS	798	ycfH			putative metallodependent hydrolase
ANC_00258	CDS	1005	holB	2.7.7.7		DNA polymerase III, delta prime subunit
ANC_00259	CDS	642	tmk	2.7.4.9		dTMP kinase
ANC_00260	CDS	1023	yceG			putative aminodeoxychorismate lyase
ANC_00261	CDS	810	pabC	4.1.3.38		para-aminobenzoate synthase multi-enzyme complex
ANC_00262	CDS	1242				hypothetical protein
ANC_00263	CDS	237	acpP_1			Acyl carrier protein
ANC_00264	CDS	735	fabG	1.1.1.100		3-oxo-acyl-[acyl-carrier-protein] reductase
ANC_00265	CDS	930	fabD	2.3.1.39		malonyl-CoA-ACP transacylase
ANC_00266	CDS	954				hypothetical protein
ANC_00267	CDS	1041	plsX	2.3.1		fatty acid/phospholipid synthesis protein
ANC_00268	CDS	174	rpmF			50S ribosomal subunit protein L32
ANC_00269	CDS	522				hypothetical protein
ANC_00270	CDS	624	yceF			putative protein
ANC_00271	CDS	960	rluC			23S rRNA pseudouridine synthase
ANC_00272	CDS	3186	rne			RNase E
ANC_00273	CDS	954	flgL			flagellar biosynthesis; hook-filament junction protein
ANC_00274	CDS	1644	flgK			flagellar biosynthesis, hook-filament junction protein 1
ANC_00275	CDS	942	flgJ			FlgJ
ANC_00276	CDS	1098	flgI			flagellar P-ring protein FlgI
ANC_00277	CDS	699	flgH			flagellar L-ring protein FlgH; basal-body outer-membrane L (lipopolysaccharide layer) ring protein
ANC_00278	CDS	783	flgG			flagellar basal-body rod protein FlgG
ANC_00279	CDS	756	flgF			flagellar basal-body rod protein FlgF
ANC_00280	CDS	1206	flgE			flagellar hook protein FlgE
ANC_00281	CDS	696	flgD			flagellar biosynthesis, initiation of hook assembly
ANC_00282	CDS	405	flgC			flagellar basal-body rod protein FlgC
ANC_00283	CDS	417	flgB			flagellar basal-body rod protein FlgB
ANC_00284	CDS	660	flgA			flagellar biosynthesis; assembly of basal-body periplasmic P ring
ANC_00285	CDS	294	flgM			anti-sigma factor for FliA (sigma 28)
ANC_00286	CDS	417	flgN			flagellar biosynthesis protein FlgN
ANC_00287	CDS	1536	murJ			lipid II flippase
ANC_00288	CDS	924	yceM			putative oxidoreductase, NAD(P)-binding Rossmann-fold domain
ANC_00289	CDS	648				hypothetical protein
ANC_00290	CDS	585	rimJ	2.3.1.128		ribosomal-protein-S5-alanine N-acetyltransferase
ANC_00291	CDS	1209	mdtH			YceL MFS transporter
ANC_00292	CDS	648	grxB		COG2999	Glutaredoxin 2
ANC_00293	CDS	561	yceB			putative lipoprotein
ANC_00294	CDS	1047	pyrC	3.5.2.3		dihydroorotase
ANC_00295	CDS	246	dinI			DNA damage-inducible protein I
ANC_00296	CDS	258	bssS			regulator of biofilm formation
ANC_00297	CDS	1119	solA			N-methyltryptophan oxidase
ANC_00298	CDS	114	yceO			small protein involved in biofilm formation and acid stress response
ANC_00299	CDS	567	yceJ			putative cytochrome b561
ANC_00300	CDS	576	yceI			putative protein
ANC_00301	CDS	1053				hypothetical protein
ANC_00302	CDS	921	lpxL			lauroyl acyltransferase
ANC_00303	CDS	1227	mdtG			multidrug efflux transporter MdtG
ANC_00304	CDS	375	msyB			acidic protein that suppresses mutants lacking function of protein export
ANC_00305	CDS	228	yceK			putative lipoprotein
ANC_00306	CDS	528	mdoH_1			membrane glycosyltransferase; synthesis of membrane-derived oligosaccharide (MDO)
ANC_00307	CDS	1971	mdoH_2			membrane glycosyltransferase; synthesis of membrane-derived oligosaccharide (MDO)
ANC_00308	CDS	1503	mdoG			periplasmic glucan (MDO) biosynthesis protein
ANC_00309	CDS	1158	mdoC			protein required for succinyl modification of osmoregulated periplasmic glucans
ANC_00310	CDS	1482	ymdC			putative hydrolase
ANC_00311	CDS	534	ymdB			regulator of RNase III activity
ANC_00312	CDS	312	ymdA			putative protein
ANC_00313	CDS	333	csgC			putative curli production protein
ANC_00314	CDS	456	csgA			curlin, major subunit
ANC_00315	CDS	456	csgB			curlin, minor subunit precursor
ANC_00316	CDS	651	csgD			CsgD DNA-binding transcriptional dual regulator
ANC_00317	CDS	390	csgE			curli transport specificity factor
ANC_00318	CDS	417	csgF			curli assembly component
ANC_00319	CDS	1794	papC		COG3188	Outer membrane usher protein PapC
ANC_00320	CDS	753	yfcS			putative periplasmic pilus chaperone
ANC_00321	CDS	507	yfcR			putative fimbrial-like adhesin protein
ANC_00322	CDS	480	yfcQ			putative fimbrial-like adhesin protein
ANC_00323	CDS	552	yfcP			putative fimbrial-like adhesin protein
ANC_00324	CDS	825	yfcO			putative protein
ANC_00325	CDS	552				hypothetical protein
ANC_00326	CDS	933	prmB			protein-glutamine N-methyltransferase
ANC_00327	CDS	1086	aroC	4.2.3.5		chorismate synthase
ANC_00328	CDS	825	mepA			murein DD-endopeptidase, penicillin-insensitive
ANC_00329	CDS	810				hypothetical protein
ANC_00330	CDS	549	epmC			EF-P-Lys34 hydroxylase
ANC_00331	CDS	279	yfcL			putative protein
ANC_00332	CDS	2007	mnmC	2.1.1.61		fused 5-methylaminomethyl-2-thiouridine-forming methyltransferase and FAD-dependent demodification enzyme
ANC_00333	CDS	1221				hypothetical protein
ANC_00334	CDS	1179	yfcJ			putative transport protein YfcJ
ANC_00335	CDS	996	flk			putative flagella assembly protein
ANC_00336	CDS	1137	pdxB	1.1.1.290		erythronate-4-phosphate dehydrogenase
ANC_00337	CDS	1014	usg			putative semialdehyde dehydrogenase
ANC_00338	CDS	813	truA	5.4.99.12		tRNA pseudouridine synthase I
ANC_00339	CDS	660				hypothetical protein
ANC_00340	CDS	915	accD	6.4.1.2		acetyl-CoA carboxyltransferase, beta subunit
ANC_00341	CDS	1269	folC	6.3.2.17		bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase
ANC_00342	CDS	663	dedD			cell division protein DedD
ANC_00343	CDS	489	cvpA			membrane protein required for colicin V production
ANC_00344	CDS	1518	purF	2.4.2.14		amidophosphoribosyl transferase
ANC_00345	CDS	570	ubiX			3-octaprenyl-4-hydroxybenzoate decarboxylase together with UbiG
ANC_00346	CDS	783	argT			lysine / arginine / ornithine ABC transporter - periplasmic binding protein
ANC_00347	CDS	783	hisJ			histidine ABC transporter - periplasmic binding protein
ANC_00348	CDS	687	hisQ			lysine / arginine / ornithine ABC transporter / histidine ABC transporter - membrane subunit
ANC_00349	CDS	717	hisM			lysine/arginine/ornithine ABC transporter / histidine ABC transporter - membrane subunit
ANC_00350	CDS	774	hisP			lysine / arginine / ornithine ABC transporter / histidine ABC transporter - ATP binding subunit
ANC_00351	CDS	891				hypothetical protein
ANC_00352	CDS	894				hypothetical protein
ANC_00353	CDS	363	folX			dihydroneopterin triphosphate 2'-epimerase monomer
ANC_00354	CDS	648	yfcG			disulfide bond reductase
ANC_00355	CDS	645	yfcF			glutathione S-transferase
ANC_00356	CDS	552	yfcE			phosphodiesterase
ANC_00357	CDS	543	yfcD			putative Nudix hydrolase
ANC_00358	CDS	1479	yfcC			putative inner membrane protein; putative S-transferase
ANC_00359	CDS	2145	pta	2.3.1.8		phosphate acetyltransferase / phosphate propionyltransferase
ANC_00360	CDS	1203	ackA	2.7.2.1		acetate kinase
ANC_00361	CDS	456	yfbV			protein involved in regulation of chromosome structure
ANC_00362	CDS	495				hypothetical protein
ANC_00363	CDS	651	yfbT	3.1.3.23		sugar phosphatase
ANC_00364	CDS	1833	yfbS			putative transport protein
ANC_00365	CDS	600	yfbR	3.1.3.5		dCMP phosphohydrolase
ANC_00366	CDS	1218	alaA	2.6.1.2		glutamate-pyruvate aminotransferase
ANC_00367	CDS	939	lrhA			LrhA DNA-binding transcriptional dual regulator
ANC_00368	CDS	165				hypothetical protein
ANC_00369	CDS	444	nuoA			NADH:ubiquinone oxidoreductase, membrane subunit A
ANC_00370	CDS	663	nuoB			NADH:ubiquinone oxidoreductase, chain B
ANC_00371	CDS	1803	nuoC			NADH:ubiquinone oxidoreductase, chain CD
ANC_00372	CDS	501	nuoE	1.6.99.5		NADH:ubiquinone oxidoreductase, chain E
ANC_00373	CDS	1338	nuoF	1.6.99.5		NADH:ubiquinone oxidoreductase, chain F
ANC_00374	CDS	2727	nuoG	1.6.99.5		NADH:ubiquinone oxidoreductase, chain G
ANC_00375	CDS	978	nuoH	1.6.99.5		NADH:ubiquinone oxidoreductase, membrane subunit H
ANC_00376	CDS	543	nuoI	1.6.99.5		NADH:ubiquinone oxidoreductase, chain I
ANC_00377	CDS	555	nuoJ			NADH:ubiquinone oxidoreductase, membrane subunit J
ANC_00378	CDS	303	nuoK			NADH:ubiquinone oxidoreductase, membrane subunit K
ANC_00379	CDS	1842	nuoL	1.6.99.5		NADH:ubiquinone oxidoreductase, membrane subunit L
ANC_00380	CDS	1530	nuoM	1.6.99.5		NADH:ubiquinone oxidoreductase, membrane subunit M
ANC_00381	CDS	1458	nuoN			NADH:ubiquinone oxidoreductase, membrane subunit N
ANC_00382	CDS	840				hypothetical protein
ANC_00383	CDS	522	insJ_1			IS150 protein InsA
ANC_00384	CDS	504	yfbM			putative protein
ANC_00385	CDS	558	ccmG			CcmEFGH holocytochrome c synthetase
ANC_00386	CDS	1053	ccmH			CcmEFGH holocytochrome c synthetase
ANC_00387	CDS	648	fimZ_1			FimZ transcriptional regulator
ANC_00388	CDS	2592	yejO			putative autotransporter outer membrane protein
ANC_00389	tRNA	77				tRNA-Pro(ggg)
ANC_00390	CDS	1761	yejM			putative hydrolase, inner membrane
ANC_00391	CDS	228				hypothetical protein
ANC_00392	CDS	1008	yejK			DNA-associated protein
ANC_00393	CDS	285	rplY			50S ribosomal subunit protein L25
ANC_00394	CDS	1761	yejH			putative ATP-dependent helicase
ANC_00395	CDS	696	rsuA			16S rRNA pseudouridine 516 synthase
ANC_00396	CDS	1191	bcr			multidrug efflux transporter Bcr
ANC_00397	CDS	345	yejG			putative protein
ANC_00398	CDS	1590	yejF			peptide ABC transporter - ATP binding subunit
ANC_00399	CDS	1026	yejE			peptide ABC transporter - membrane subunit
ANC_00400	CDS	1095	yejB			peptide ABC transporter - membrane subunit
ANC_00401	CDS	1815	yejA			peptide ABC transporter - periplasmic binding protein
ANC_00402	CDS	1557	rtn			putative lipoprotein
ANC_00403	CDS	567	spr			putative peptidase, outer membrane lipoprotein
