# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ANC_00030	GENE_ANC_00030	TRANSCRIPT_ANC_00030	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0
ANC_00031	GENE_ANC_00031	TRANSCRIPT_ANC_00031	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ANC_00032	GENE_ANC_00032	TRANSCRIPT_ANC_00032	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ANC_00033	GENE_ANC_00033	TRANSCRIPT_ANC_00033	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1
ANC_00034	GENE_ANC_00034	TRANSCRIPT_ANC_00034	protein_coding	1	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	1
ANC_00035	GENE_ANC_00035	TRANSCRIPT_ANC_00035	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2
ANC_00036	GENE_ANC_00036	TRANSCRIPT_ANC_00036	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1
ANC_00037	GENE_ANC_00037	TRANSCRIPT_ANC_00037	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ANC_00038	GENE_ANC_00038	TRANSCRIPT_ANC_00038	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ANC_00039	GENE_ANC_00039	TRANSCRIPT_ANC_00039	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ANC_00040	GENE_ANC_00040	TRANSCRIPT_ANC_00040	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ANC_00041	GENE_ANC_00041	TRANSCRIPT_ANC_00041	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ANC_00042	GENE_ANC_00042	TRANSCRIPT_ANC_00042	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0
ANC_00043	GENE_ANC_00043	TRANSCRIPT_ANC_00043	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00044	GENE_ANC_00044	TRANSCRIPT_ANC_00044	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00045	GENE_ANC_00045	TRANSCRIPT_ANC_00045	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00046	GENE_ANC_00046	TRANSCRIPT_ANC_00046	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00047	GENE_ANC_00047	TRANSCRIPT_ANC_00047	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00052	GENE_ANC_00052	TRANSCRIPT_ANC_00052	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00053	GENE_ANC_00053	TRANSCRIPT_ANC_00053	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00054	GENE_ANC_00054	TRANSCRIPT_ANC_00054	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00055	GENE_ANC_00055	TRANSCRIPT_ANC_00055	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00056	GENE_ANC_00056	TRANSCRIPT_ANC_00056	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00057	GENE_ANC_00057	TRANSCRIPT_ANC_00057	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANC_00058	GENE_ANC_00058	TRANSCRIPT_ANC_00058	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00059	GENE_ANC_00059	TRANSCRIPT_ANC_00059	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00060	GENE_ANC_00060	TRANSCRIPT_ANC_00060	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00061	GENE_ANC_00061	TRANSCRIPT_ANC_00061	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00062	GENE_ANC_00062	TRANSCRIPT_ANC_00062	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ANC_00063	GENE_ANC_00063	TRANSCRIPT_ANC_00063	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ANC_00064	GENE_ANC_00064	TRANSCRIPT_ANC_00064	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ANC_00065	GENE_ANC_00065	TRANSCRIPT_ANC_00065	protein_coding	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	2
ANC_00066	GENE_ANC_00066	TRANSCRIPT_ANC_00066	protein_coding	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	1	1
ANC_00067	GENE_ANC_00067	TRANSCRIPT_ANC_00067	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	2
ANC_00068	GENE_ANC_00068	TRANSCRIPT_ANC_00068	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	2
ANC_00069	GENE_ANC_00069	TRANSCRIPT_ANC_00069	protein_coding	0	0	1	3	0	0	0	1	0	1	0	0	0	0	0	0	2
ANC_00070	GENE_ANC_00070	TRANSCRIPT_ANC_00070	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2
ANC_00071	GENE_ANC_00071	TRANSCRIPT_ANC_00071	protein_coding	0	0	1	2	0	0	0	2	0	1	0	0	0	0	0	0	0
ANC_00072	GENE_ANC_00072	TRANSCRIPT_ANC_00072	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00073	GENE_ANC_00073	TRANSCRIPT_ANC_00073	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00084	GENE_ANC_00084	TRANSCRIPT_ANC_00084	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00085	GENE_ANC_00085	TRANSCRIPT_ANC_00085	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00086	GENE_ANC_00086	TRANSCRIPT_ANC_00086	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00087	GENE_ANC_00087	TRANSCRIPT_ANC_00087	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00088	GENE_ANC_00088	TRANSCRIPT_ANC_00088	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00089	GENE_ANC_00089	TRANSCRIPT_ANC_00089	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1
ANC_00090	GENE_ANC_00090	TRANSCRIPT_ANC_00090	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ANC_00091	GENE_ANC_00091	TRANSCRIPT_ANC_00091	protein_coding	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
ANC_00092	GENE_ANC_00092	TRANSCRIPT_ANC_00092	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00093	GENE_ANC_00093	TRANSCRIPT_ANC_00093	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ANC_00094	GENE_ANC_00094	TRANSCRIPT_ANC_00094	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00095	GENE_ANC_00095	TRANSCRIPT_ANC_00095	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00096	GENE_ANC_00096	TRANSCRIPT_ANC_00096	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ANC_00097	GENE_ANC_00097	TRANSCRIPT_ANC_00097	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ANC_00098	GENE_ANC_00098	TRANSCRIPT_ANC_00098	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00102	GENE_ANC_00102	TRANSCRIPT_ANC_00102	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00103	GENE_ANC_00103	TRANSCRIPT_ANC_00103	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00104	GENE_ANC_00104	TRANSCRIPT_ANC_00104	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00105	GENE_ANC_00105	TRANSCRIPT_ANC_00105	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00106	GENE_ANC_00106	TRANSCRIPT_ANC_00106	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANC_00107	GENE_ANC_00107	TRANSCRIPT_ANC_00107	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00108	GENE_ANC_00108	TRANSCRIPT_ANC_00108	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00109	null	ANC_00109	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00110	GENE_ANC_00110	TRANSCRIPT_ANC_00110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00160	GENE_ANC_00160	TRANSCRIPT_ANC_00160	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00161	GENE_ANC_00161	TRANSCRIPT_ANC_00161	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00162	GENE_ANC_00162	TRANSCRIPT_ANC_00162	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANC_00163	GENE_ANC_00163	TRANSCRIPT_ANC_00163	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00164	GENE_ANC_00164	TRANSCRIPT_ANC_00164	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00165	GENE_ANC_00165	TRANSCRIPT_ANC_00165	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00166	GENE_ANC_00166	TRANSCRIPT_ANC_00166	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00167	GENE_ANC_00167	TRANSCRIPT_ANC_00167	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00168	GENE_ANC_00168	TRANSCRIPT_ANC_00168	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00169	GENE_ANC_00169	TRANSCRIPT_ANC_00169	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00170	GENE_ANC_00170	TRANSCRIPT_ANC_00170	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00171	GENE_ANC_00171	TRANSCRIPT_ANC_00171	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00176	GENE_ANC_00176	TRANSCRIPT_ANC_00176	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00177	null.3	ANC_00177	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00178	GENE_ANC_00178	TRANSCRIPT_ANC_00178	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00179	GENE_ANC_00179	TRANSCRIPT_ANC_00179	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00180	GENE_ANC_00180	TRANSCRIPT_ANC_00180	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANC_00181	GENE_ANC_00181	TRANSCRIPT_ANC_00181	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00182	GENE_ANC_00182	TRANSCRIPT_ANC_00182	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00183	GENE_ANC_00183	TRANSCRIPT_ANC_00183	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00184	GENE_ANC_00184	TRANSCRIPT_ANC_00184	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00185	GENE_ANC_00185	TRANSCRIPT_ANC_00185	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00186	GENE_ANC_00186	TRANSCRIPT_ANC_00186	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ANC_00187	GENE_ANC_00187	TRANSCRIPT_ANC_00187	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00188	GENE_ANC_00188	TRANSCRIPT_ANC_00188	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00189	GENE_ANC_00189	TRANSCRIPT_ANC_00189	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00190	GENE_ANC_00190	TRANSCRIPT_ANC_00190	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00191	GENE_ANC_00191	TRANSCRIPT_ANC_00191	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ANC_00192	GENE_ANC_00192	TRANSCRIPT_ANC_00192	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00193	GENE_ANC_00193	TRANSCRIPT_ANC_00193	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00194	GENE_ANC_00194	TRANSCRIPT_ANC_00194	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00195	GENE_ANC_00195	TRANSCRIPT_ANC_00195	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00196	GENE_ANC_00196	TRANSCRIPT_ANC_00196	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00197	GENE_ANC_00197	TRANSCRIPT_ANC_00197	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00198	GENE_ANC_00198	TRANSCRIPT_ANC_00198	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00213	GENE_ANC_00213	TRANSCRIPT_ANC_00213	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00214	GENE_ANC_00214	TRANSCRIPT_ANC_00214	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00215	GENE_ANC_00215	TRANSCRIPT_ANC_00215	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00216	GENE_ANC_00216	TRANSCRIPT_ANC_00216	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00217	GENE_ANC_00217	TRANSCRIPT_ANC_00217	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANC_00218	GENE_ANC_00218	TRANSCRIPT_ANC_00218	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00219	GENE_ANC_00219	TRANSCRIPT_ANC_00219	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00220	GENE_ANC_00220	TRANSCRIPT_ANC_00220	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00221	GENE_ANC_00221	TRANSCRIPT_ANC_00221	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00222	GENE_ANC_00222	TRANSCRIPT_ANC_00222	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00228	GENE_ANC_00228	TRANSCRIPT_ANC_00228	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00229	GENE_ANC_00229	TRANSCRIPT_ANC_00229	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00230	GENE_ANC_00230	TRANSCRIPT_ANC_00230	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00231	GENE_ANC_00231	TRANSCRIPT_ANC_00231	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00232	GENE_ANC_00232	TRANSCRIPT_ANC_00232	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00233	GENE_ANC_00233	TRANSCRIPT_ANC_00233	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ANC_00234	GENE_ANC_00234	TRANSCRIPT_ANC_00234	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00235	GENE_ANC_00235	TRANSCRIPT_ANC_00235	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00236	GENE_ANC_00236	TRANSCRIPT_ANC_00236	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00237	GENE_ANC_00237	TRANSCRIPT_ANC_00237	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00301	GENE_ANC_00301	TRANSCRIPT_ANC_00301	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00302	GENE_ANC_00302	TRANSCRIPT_ANC_00302	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00303	GENE_ANC_00303	TRANSCRIPT_ANC_00303	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00304	GENE_ANC_00304	TRANSCRIPT_ANC_00304	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00305	GENE_ANC_00305	TRANSCRIPT_ANC_00305	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00306	GENE_ANC_00306	TRANSCRIPT_ANC_00306	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00307	GENE_ANC_00307	TRANSCRIPT_ANC_00307	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ANC_00308	GENE_ANC_00308	TRANSCRIPT_ANC_00308	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00309	GENE_ANC_00309	TRANSCRIPT_ANC_00309	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00320	GENE_ANC_00320	TRANSCRIPT_ANC_00320	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00321	GENE_ANC_00321	TRANSCRIPT_ANC_00321	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00322	GENE_ANC_00322	TRANSCRIPT_ANC_00322	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00323	GENE_ANC_00323	TRANSCRIPT_ANC_00323	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00324	GENE_ANC_00324	TRANSCRIPT_ANC_00324	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00325	GENE_ANC_00325	TRANSCRIPT_ANC_00325	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00326	GENE_ANC_00326	TRANSCRIPT_ANC_00326	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00327	GENE_ANC_00327	TRANSCRIPT_ANC_00327	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANC_00328	GENE_ANC_00328	TRANSCRIPT_ANC_00328	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00329	GENE_ANC_00329	TRANSCRIPT_ANC_00329	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00330	GENE_ANC_00330	TRANSCRIPT_ANC_00330	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00331	GENE_ANC_00331	TRANSCRIPT_ANC_00331	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00332	GENE_ANC_00332	TRANSCRIPT_ANC_00332	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00363	GENE_ANC_00363	TRANSCRIPT_ANC_00363	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00364	GENE_ANC_00364	TRANSCRIPT_ANC_00364	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00365	GENE_ANC_00365	TRANSCRIPT_ANC_00365	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00366	GENE_ANC_00366	TRANSCRIPT_ANC_00366	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00367	GENE_ANC_00367	TRANSCRIPT_ANC_00367	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00368	GENE_ANC_00368	TRANSCRIPT_ANC_00368	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00369	GENE_ANC_00369	TRANSCRIPT_ANC_00369	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00370	GENE_ANC_00370	TRANSCRIPT_ANC_00370	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00371	GENE_ANC_00371	TRANSCRIPT_ANC_00371	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00374	GENE_ANC_00374	TRANSCRIPT_ANC_00374	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00375	GENE_ANC_00375	TRANSCRIPT_ANC_00375	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00376	GENE_ANC_00376	TRANSCRIPT_ANC_00376	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00377	GENE_ANC_00377	TRANSCRIPT_ANC_00377	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00378	GENE_ANC_00378	TRANSCRIPT_ANC_00378	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00379	GENE_ANC_00379	TRANSCRIPT_ANC_00379	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ANC_00380	GENE_ANC_00380	TRANSCRIPT_ANC_00380	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00381	GENE_ANC_00381	TRANSCRIPT_ANC_00381	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00382	GENE_ANC_00382	TRANSCRIPT_ANC_00382	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00385	GENE_ANC_00385	TRANSCRIPT_ANC_00385	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANC_00386	GENE_ANC_00386	TRANSCRIPT_ANC_00386	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00387	GENE_ANC_00387	TRANSCRIPT_ANC_00387	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00388	GENE_ANC_00388	TRANSCRIPT_ANC_00388	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00405	GENE_ANC_00405	TRANSCRIPT_ANC_00405	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00406	GENE_ANC_00406	TRANSCRIPT_ANC_00406	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00407	GENE_ANC_00407	TRANSCRIPT_ANC_00407	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
